houseId,houseAddress
1,1 Main St.
2,1 Main Street
3,3 Main Street
4,1 Main Street West
5,6 Main Street West
6,2 Fifth Ave
7,6 Fifth Ave
8,3 Wall Street
9,8 Wall Street
10,4 New Orleans
11,7 New Orleans
12,5 Georgia
13,9 Georgia
14,10 Georgia
15,11 Georgia
16,12 Georgia
17,13 Georgia
18,14 Georgia
19,15 Georgia
20,16 Georgia
21,17 Georgia
22,18 Georgia
23,19 Georgia
24,20 Georgia
25,21 Georgia
26,22 Georgia
27,23 Georgia
28,24 Georgia
29,25 Georgia
30,26 Georgia
31,27 Georgia
32,28 Georgia
33,29 Georgia
34,30 Georgia
35,31 Georgia
36,32 Georgia
37,33 Georgia
38,34 Georgia
39,35 Georgia
40,36 Georgia
41,37 Georgia
42,38 Georgia
43,39 Georgia
44,40 Georgia
45,41 Georgia
46,42 Georgia
47,43 Georgia
48,44 Georgia
49,45 Georgia
50,46 Georgia
51,47 Georgia
52,48 Georgia
53,49 Georgia
54,50 Georgia
55,51 Georgia
56,52 Georgia
57,53 Georgia
58,54 Georgia
59,55 Georgia
60,56 Georgia
61,57 Georgia
62,58 Georgia
63,59 Georgia
64,60 Georgia
65,61 Georgia
66,62 Georgia
67,63 Georgia
68,64 Georgia
69,65 Georgia
70,66 Georgia
71,67 Georgia
72,68 Georgia
73,69 Georgia
74,70 Georgia
75,71 Georgia
76,72 Georgia
77,73 Georgia
78,74 Georgia
79,75 Georgia
80,76 Georgia
81,77 Georgia
82,78 Georgia
83,79 Georgia
84,80 Georgia
85,81 Georgia
86,82 Georgia
87,83 Georgia
88,84 Georgia
89,85 Georgia
90,86 Georgia
91,87 Georgia
92,88 Georgia
93,89 Georgia
94,90 Georgia
95,91 Georgia
96,92 Georgia
97,93 Georgia
98,94 Georgia
99,95 Georgia
100,96 Georgia
101,97 Georgia
102,98 Georgia
103,99 Georgia
104,100 Georgia
105,101 Georgia
106,102 Georgia
107,103 Georgia
108,104 Georgia
109,105 Georgia
110,106 Georgia
111,107 Georgia
112,108 Georgia
113,109 Georgia
114,110 Georgia
115,111 Georgia
116,112 Georgia
117,113 Georgia
118,114 Georgia
119,115 Georgia
120,116 Georgia
121,117 Georgia
122,118 Georgia
